identifier,full_link,title,weight,axis
coin-11927,https://catalog.princeton.edu/catalog/coin-11927,"Hadrian (117 to 138), sestertius, Rome",22.26,11
coin-11928,https://catalog.princeton.edu/catalog/coin-11928,"Hadrian (117 to 138), sestertius, Rome",23.52,11
coin-11929,https://catalog.princeton.edu/catalog/coin-11929,"Hadrian (117 to 138), as, Rome",11.55,5
coin-1193,https://catalog.princeton.edu/catalog/coin-1193,"Guang Xu 光緒 (1875 to 1908), A Ke Su",3.98,
coin-11930,https://catalog.princeton.edu/catalog/coin-11930,"Hadrian (117 to 138), as, Rome",9.73,6
coin-11931,https://catalog.princeton.edu/catalog/coin-11931,"Hadrian (117 to 138), sestertius, Rome",26.33,6
coin-11932,https://catalog.princeton.edu/catalog/coin-11932,"Hadrian (117 to 138), as, Rome",9.68,6
coin-11933,https://catalog.princeton.edu/catalog/coin-11933,"Hadrian (117 to 138), as, Rome",14.39,6
coin-11934,https://catalog.princeton.edu/catalog/coin-11934,"Hadrian (117 to 138), as, Rome",11.55,6
coin-11935,https://catalog.princeton.edu/catalog/coin-11935,"Hadrian (117 to 138), as, Rome",12.04,11
coin-11936,https://catalog.princeton.edu/catalog/coin-11936,"Hadrian (117 to 138), as, Rome",6.53,6
coin-11937,https://catalog.princeton.edu/catalog/coin-11937,"Hadrian (117 to 138), sestertius, Rome",23.3,11
coin-11938,https://catalog.princeton.edu/catalog/coin-11938,"Hadrian (117 to 138), quadrans, Rome",4.02,6
coin-11939,https://catalog.princeton.edu/catalog/coin-11939,"Hadrian (117 to 138), as, Rome",13.75,5
coin-1194,https://catalog.princeton.edu/catalog/coin-1194,"Tetradrachm, Syracuse",16.53,12
coin-11940,https://catalog.princeton.edu/catalog/coin-11940,"Mithradates I, Drachm, Damghan",3.62,12
coin-11941,https://catalog.princeton.edu/catalog/coin-11941,"Mithradates I, Drachm, Damghan",4.12,12
coin-11942,https://catalog.princeton.edu/catalog/coin-11942,"Mithradates I, Drachm, Damghan",4.19,12
coin-11943,https://catalog.princeton.edu/catalog/coin-11943,"Mithradates I, Drachm, Damghan",3.93,12
coin-11944,https://catalog.princeton.edu/catalog/coin-11944,"Mithradates I, Drachm, Damghan",5.38,12
coin-11945,https://catalog.princeton.edu/catalog/coin-11945,"Mithradates I, Drachm, Damghan",4.18,12
coin-11946,https://catalog.princeton.edu/catalog/coin-11946,"Mithradates I, Drachm, Damghan",4.29,12
coin-11947,https://catalog.princeton.edu/catalog/coin-11947,"Mithradates I, Drachm, Damghan",4.0,12
coin-11948,https://catalog.princeton.edu/catalog/coin-11948,"Mithradates I, Drachm, Damghan",21.0,12
coin-11949,https://catalog.princeton.edu/catalog/coin-11949,"Mithradates I, Drachm, Damghan",4.65,12
coin-1195,https://catalog.princeton.edu/catalog/coin-1195,Guang Xu 光緒 (1875 to 1908),1.97,
coin-11950,https://catalog.princeton.edu/catalog/coin-11950,"Mithradates I, Drachm, Damghan",4.43,12
coin-11951,https://catalog.princeton.edu/catalog/coin-11951,"Mithradates I, Drachm, Damghan",3.81,1
